1401651262,118,
P,2,1044,16281,
P,2,1044,5069,
P,2,5069,16281,
P,2,1099,1100,
P,2,1099,1123,
P,2,1100,1123,
P,2,5092,1130,
P,2,9763,1130,
P,2,9763,5092,
P,2,5093,1138,
P,2,6915,1138,
P,2,6915,5093,
P,2,1154,1139,
P,2,1154,1169,
P,2,1169,1139,
P,2,1045,5094,
P,2,1056,16282,
P,2,1056,5095,
P,2,5095,16282,
P,2,1065,1145,
P,2,1065,5096,
P,2,5096,1145,
P,2,1079,1146,
P,2,1079,5097,
P,2,5097,1146,
P,1,1054,1215,
P,1,1054,16169,
P,1,1054,4791,
P,1,4791,1215,
P,1,4791,16169,
P,1,16169,1215,
P,1,1010,1012,
P,1,1010,1073,
P,1,1010,4124,
P,1,1015,1502,
P,1,1015,4102,
P,1,1073,1012,
P,1,1502,4102,
P,1,2689,1015,
P,1,2689,1502,
P,1,2689,3939,
P,1,3939,1015,
P,1,3939,1502,
P,1,3939,4102,
P,1,4124,1012,
P,1,4124,1073,
P,1,1016,1014,
P,1,1016,1075,
P,1,1016,4125,
P,1,1075,1014,
P,1,4125,1014,
P,1,4125,1075,
P,1,1017,1503,
P,1,1017,4116,
P,1,1018,1022,
P,1,1018,1203,
P,1,1018,4126,
P,1,1203,1022,
P,1,1503,4116,
P,1,2690,1017,
P,1,2690,1503,
P,1,2690,3952,
P,1,3952,1017,
P,1,3952,1503,
P,1,3952,4116,
P,1,4126,1022,
P,1,4126,1203,
P,1,1019,1025,
P,1,1019,1208,
P,1,1019,4130,
P,1,1208,1025,
P,1,4130,1025,
P,1,4130,1208,
P,1,1023,1224,
P,1,1023,1374,
P,1,1023,4131,
P,1,1051,1507,
P,1,1051,4121,
P,1,1224,1374,
P,1,1507,4121,
P,1,2717,1051,
P,1,2717,1507,
P,1,2717,4028,
P,1,4028,1051,
P,1,4028,1507,
P,1,4028,4121,
P,1,4131,1224,
P,1,4131,1374,
P,1,1026,1237,
P,1,1026,1375,
P,1,1026,15758,
P,1,1026,2447,
P,1,1026,4132,
P,1,1057,1552,
P,1,1057,4123,
P,1,1237,1375,
P,1,1237,15758,
P,1,1237,2447,
P,1,1375,15758,
P,1,1375,2447,
P,1,1552,4123,
P,1,2447,15758,
P,1,2718,1057,
P,1,2718,1552,
P,1,2718,4029,
P,1,4029,1057,
P,1,4029,1552,
P,1,4029,4123,
P,1,4132,1237,
P,1,4132,1375,
P,1,4132,15758,
P,1,4132,2447,
P,1,1030,1240,
P,1,1030,1414,
P,1,1030,4137,
P,1,1240,1414,
P,1,4137,1240,
P,1,4137,1414,
